lat,long,orientation
38.737926,-9.139072,South
38.737817,-9.139114,South
38.737806,-9.139114,South
38.737790,-9.139113,South
38.737777,-9.139111,South
38.737762,-9.139109,South
38.737743,-9.139108,South
38.737714,-9.139105,South
38.737689,-9.139101,South
38.737648,-9.139097,South
38.737629,-9.139096,South
38.737610,-9.139094,South
38.737568,-9.139106,South
38.737526,-9.139092,South
38.737486,-9.139086,South
38.737438,-9.139118,South
38.737424,-9.139080,South
38.737388,-9.139076,South
38.737365,-9.139069,South
38.737336,-9.139070,South        
38.737315,-9.139068,South
38.737296,-9.139067,South
38.737275,-9.139053,South
38.737258,-9.139042,South
38.737227,-9.139014,South
38.737204,-9.139008,South
38.737186,-9.139006,South
38.737160,-9.139000,South
38.737106,-9.138997,South
38.737071,-9.138978,South
38.737038,-9.138970,South
38.737004,-9.138968,South
38.736965,-9.138955,South
38.736944,-9.138951,South
38.736912,-9.138950,South
38.736858,-9.138942,South
38.736791,-9.138932,South
38.736714,-9.138923,South
38.736663,-9.138917,South
38.736626,-9.138913,South
38.736593,-9.138911,South
38.736564,-9.138906,South
38.736545,-9.138903,South
38.736536,-9.138884,East
38.736540,-9.138863,East
38.736546,-9.138837,East
38.736549,-9.138809,East
38.736553,-9.138763,East
38.736581,-9.138755,North
38.736605,-9.138760,North
38.736679,-9.138764,North
38.736707,-9.138766,North
38.736759,-9.138770,North
38.736804,-9.138775,North
38.736903,-9.138783,North
38.736966,-9.138792,North
38.737020,-9.138824,West
38.737022,-9.138846,West
38.737022,-9.138878,West
38.737022,-9.138906,West
38.737026,-9.138935,West
38.737047,-9.138959,North
38.737056,-9.138960,North
38.737088,-9.138966,North
38.737141,-9.138975,North
38.737186,-9.138980,North
38.737238,-9.138989,North
38.737267,-9.138997,North
38.737267,-9.138997,West
38.737270,-9.139025,West
38.737270,-9.139050,West
38.737272,-9.139067,West
38.737273,-9.139088,West
38.737279,-9.139064,West
38.737272,-9.139091,West
38.737268,-9.139124,West
38.737270,-9.139147,West
38.737268,-9.139189,West
38.737270,-9.139271,West
38.737266,-9.139383,West
38.737255,-9.139474,West
38.737247,-9.139578,West
38.737248,-9.139605,West
38.737244,-9.139635,West
38.737235,-9.139661,West
38.737235,-9.139685,West
38.737242,-9.139716,West
38.737245,-9.139745,West
38.737253,-9.139776,North
38.737338,-9.139809,North
38.737402,-9.139812,North
38.737464,-9.139819,North
38.737567,-9.139824,North
38.737658,-9.139825,North
38.737746,-9.139828,North
38.737825,-9.139835,North
38.737893,-9.139842,North
38.737934,-9.139886,West
38.737937,-9.139923,West
38.737938,-9.139954,West
38.737941,-9.139971,West
38.737931,-9.139998,West
38.737928,-9.140027,West
38.737924,-9.140050,West
38.737925,-9.140071,West
38.737918,-9.140159,West
38.737918,-9.140159,North
38.737918,-9.140159,North
38.737914,-9.140153,East
38.737917,-9.140141,East
38.737917,-9.140122,East
38.737921,-9.140106,East
38.737925,-9.140071,East
38.737924,-9.140050,East
38.737928,-9.140027,East
38.737931,-9.139998,East
38.737941,-9.139971,East
38.737938,-9.139954,East
38.737937,-9.139923,East
38.737934,-9.139886,East
38.737893,-9.139842,South
38.737825,-9.139835,South
38.737746,-9.139828,South
38.737658,-9.139825,South
38.737567,-9.139824,South
38.737464,-9.139819,South
38.737402,-9.139812,South
38.737338,-9.139809,South
38.737253,-9.139776,South
