lat,long,vx,vy
38.7380489,-9.13822367,-1.8347785,0.163482973
38.7380489,-9.13822486,-1.98587624,0.0726130381
38.7380491,-9.13822598,-2.02219856,0.139035514
38.7380492,-9.13822714,-1.98631017,0.148618003
38.7380491,-9.13822831,-2.05599418,0.0558789666
38.7380492,-9.13822957,-2.17384403,-0.0818165569
38.7380491,-9.13823083,-2.19330416,0.00276456742
38.7380491,-9.13823204,-2.20583958,0.0635401278
38.7380493,-9.13823331,-2.2375734,0.226218546
38.7380492,-9.13823461,-2.29337328,0.120873549
38.7380493,-9.13823589,-2.25635685,0.108477087
38.7380495,-9.13823719,-2.25700499,0.33651127
38.7380496,-9.13823848,-2.29987554,0.405265153
38.7380496,-9.1382399,-2.41230507,0.168426037
38.7380498,-9.13824128,-2.44263842,0.250093725
38.7380499,-9.13824267,-2.48731142,0.246275194
38.7380499,-9.1382441,-2.503344,0.164207055
38.73805,-9.13824561,-2.58556578,0.127601623
38.7380501,-9.13824702,-2.49870028,0.265036155
38.7380501,-9.13824857,-2.6641838,0.173394149
38.7380504,-9.13825013,-2.80350521,0.325492002
38.7380505,-9.13825168,-2.82917788,0.300819587
38.7380506,-9.13825331,-2.83535517,0.408300454
38.7380508,-9.13825488,-2.84443339,0.350455793
38.7380509,-9.1382565,-2.84041602,0.323928262
38.7380511,-9.13825817,-2.89019947,0.430917954
38.7380512,-9.13825985,-2.87845867,0.231579291
38.7380514,-9.13826159,-2.99476614,0.407306004
38.7380515,-9.13826326,-2.99880145,0.287055547
38.7380518,-9.13826486,-2.87389514,0.385082502
38.7380518,-9.13826657,-2.95586636,0.253893429
38.7380521,-9.13826831,-2.94779642,0.310746247
38.7380522,-9.13827001,-2.98161297,0.357700899
38.7380522,-9.13827173,-3.04821084,0.22431303
38.7380525,-9.13827353,-3.1289301,0.363494265
38.7380527,-9.13827529,-3.05548721,0.462940327
38.7380529,-9.13827692,-3.02494142,0.406155656
38.738053,-9.13827869,-3.08942633,0.433415281
38.7380534,-9.13828046,-3.06483322,0.611884232
38.7380536,-9.13828228,-3.10471643,0.538159797
38.7380539,-9.13828401,-3.17134913,0.590383454
38.738054,-9.13828589,-3.27876151,0.49156387
38.7380542,-9.13828776,-3.24992555,0.357622817
38.7380545,-9.13828951,-3.15348249,0.623234992
38.7380547,-9.13829127,-3.15086206,0.432132704
38.7380549,-9.13829309,-3.17530588,0.615693033
38.7380552,-9.13829489,-3.15653861,0.594572044
38.7380554,-9.13829666,-3.09155574,0.473850479
38.7380557,-9.13829835,-3.04094888,0.611638699
38.7380558,-9.13830014,-3.05235095,0.417975311
38.7380561,-9.13830183,-2.96577996,0.606783799
38.7380563,-9.13830355,-2.9804969,0.394119896
